question,label
건설 현장에서 일하다가 다쳐서 연골절제 수술을 했어요 관련 판결문 보여주세요.,B-LOC E-LOC O O S-INJURY O O O O O
현장에서 일하다 사고가나서 연골절제 했어,S-LOC O O S-INJURY O
일하다 다쳐서 연골절제 수술을 했어 판결문 보여줘,B-LOC O S-INJURY O O O O
건설 현장에서 다쳐서 연골절제 수술을 했어,B-LOC E-LOC O S-INJURY O O
건설 현장에서 사고가 나서 연골 절제 수술을 했어,B-LOC E-LOC O O B-INJURY E-INJURY O O
지난주에 다쳐서 수술했어. 관련 자료 보여줘,O O O O O O
사고나서 수술했어 관련 자료 보여줘,O O O O O
사고 관련 판결문 보여줘,O O O O
다쳤는데 관련 자료 보여줄래,O O O O
야 회사에서 일하다가 넘어져서 수술했어,O O S-LOC S-ACC O
사고로 인한 판결문들에 대해 알수있을까?,O O O O O
일하다 미끄러져서 어깨탈골로 와순 파열 수술을 받았어,S-LOC S-ACC S-INJURY O O O O
아버지가 건설 현장에서 일용직 근로자로 일하시다 추락사고를 당하셔서 목에 심한 부상을 입었어,O B-LOC E-LOC O O O S-ACC O B-INJURY O E-INJURY O
작업 중 5미터 높이에서 추락하는 사고가 나서 골절 근육의 다발성 부분파열이 생겼어,B-LOC E-LOC O O S-ACC O O S-INJURY O O O O
현장에서 거푸집 동바리 해체작업을 하던중 붕괴된 계단슬래브에 깔려 중증 뇌손상으로 사망했어,S-LOC O O O O O O S-ACC O S-INJURY O
비계파이프가 떨어지는 사고로 좌상을 입었어 요양비용 청구 가능할까?,O S-ACC O S-INJURY O O O O
식당에서 배달원으로 일하던중 교통사고를 당해서 연골손상을 입었어,S-LOC O O S-ACC O S-INJURY O
업무중 목재 재단기에 손가락이 절단되는 사고를 당했는데 병원에서 봉합수술을받고 치료중이야,S-LOC O O B-INJURY E-INJURY O O O O O
아파트 건설 중 추락해서 허리골절로 수술입원중입니다. 휴업 청구 가능한가요?,O B-LOC E-LOC S-ACC S-INJURY O O O O
배민커넥트 킥보드 배달 도중 교통사고로 팔꿈치 부분이 부서져서 입원중입니다.,O O B-LOC E-LOC S-ACC B-INJURY O E-INJURY O
